[2025-02-23 15:04:31,616: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:05:01,616: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:05:31,616: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:06:01,616: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:06:31,616: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:07:01,616: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:07:31,616: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:08:01,616: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:08:31,616: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:09:01,616: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:09:31,616: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:10:01,616: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:10:31,616: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:11:01,616: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:11:31,616: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:12:01,616: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:12:31,616: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:13:01,616: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:13:31,616: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:14:01,617: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:14:31,617: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:15:01,617: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:15:31,617: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:16:01,617: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:16:31,617: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:17:01,617: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:17:31,617: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:18:01,617: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:18:31,617: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 20:20:02,591: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
